user_id,post_id,score
140,812,3
475,812,3
59,812,3
306,812,1
360,812,3
407,812,3
87,812,3
421,812,1
312,812,1
443,812,2
211,812,3
155,812,3
457,812,3
290,812,3
484,812,3
234,812,3
193,812,3
419,812,3
61,201,3
75,201,3
309,201,3
452,201,1
221,201,3
105,201,3
369,201,1
185,201,3
220,201,3
272,201,3
206,201,3
493,201,3
74,201,3
93,201,1
346,201,2
367,201,3
137,201,3
80,201,2
37,201,3
38,194,1
281,194,3
186,194,1
435,194,3
135,194,3
225,194,3
218,194,3
313,194,1
201,194,3
180,194,3
350,194,3
43,194,3
312,194,3
430,194,3
157,194,1
49,194,2
469,417,1
383,417,3
200,417,1
272,417,3
497,417,1
376,417,3
225,417,1
382,417,2
484,417,3
274,417,3
309,417,3
31,417,3
143,417,3
159,417,1
173,1216,3
35,1216,3
142,1216,1
360,1216,1
89,1216,1
357,1216,3
367,1216,3
134,1216,3
279,1216,3
330,1216,1
365,1216,3
432,1216,3
446,594,2
239,594,1
220,594,3
129,594,3
237,594,3
207,594,1
157,594,3
457,594,1
420,594,3
399,594,3
309,594,3
29,594,3
132,594,1
124,594,1
301,2325,3
219,2325,1
121,2325,3
188,2325,1
397,2325,3
438,2325,3
174,2325,3
142,2325,3
329,2325,3
173,2325,3
31,2325,1
368,2325,1
71,2325,2
373,2325,2
336,5752,3
401,5752,3
486,5752,3
117,5752,3
367,5752,3
377,5752,3
77,5752,1
206,1309,3
72,1309,1
441,1309,2
366,1309,3
479,1309,1
182,1309,3
29,1309,3
328,1309,3
5,1309,3
457,1309,3
36,1309,3
241,1201,3
431,1201,3
221,1201,3
379,1201,3
479,1201,1
207,1201,3
264,1201,3
124,1201,3
67,1201,1
321,1201,1
134,1201,3
293,1201,3
87,1201,1
211,1201,1
294,1201,3
405,1201,3
171,1201,3
162,1201,3
397,3698,1
72,3698,3
55,3698,1
244,3698,3
398,3698,3
363,3698,2
357,3698,3
15,3698,1
487,3698,1
122,3698,2
489,3698,1
242,1710,3
38,1710,1
45,1710,3
424,1710,3
320,1710,3
253,1710,3
174,1710,1
61,1710,1
7,1168,3
224,1168,1
417,1168,3
327,1168,3
358,1168,3
58,1168,1
347,1168,1
188,1168,1
491,1168,3
430,1168,3
17,1168,1
167,1168,3
210,1168,3
413,610,2
326,610,3
300,610,1
430,610,1
314,610,3
175,610,3
42,610,3
261,610,3
344,610,1
52,610,3
87,610,3
45,610,3
43,327,3
374,327,3
375,327,3
158,327,3
393,327,1
169,327,3
409,327,1
396,327,1
229,327,3
147,327,3
250,327,2
265,327,1
445,327,2
389,2645,3
67,2645,1
321,2645,1
198,2645,3
378,2645,3
236,2645,1
303,2645,2
272,2645,3
107,2645,3
271,2645,3
91,2645,3
265,2645,3
370,2645,1
99,2645,3
479,2645,3
29,2645,3
333,2645,1
127,2645,3
288,2645,1
267,2887,3
25,2887,1
300,2887,3
235,2887,3
65,2887,3
365,2887,3
39,2887,1
489,2887,3
30,2887,3
472,2887,1
252,2887,1
143,2887,3
128,2887,3
218,2887,3
225,1717,1
79,1717,2
414,1717,3
250,1717,3
270,1717,3
205,1717,3
414,1717,3
412,1717,3
122,1717,3
72,1717,3
221,1717,3
182,1717,2
235,1717,3
253,3032,3
330,3032,3
28,3032,3
367,3032,1
327,3032,3
232,3032,3
241,3032,3
117,3032,3
198,3032,3
157,3032,1
175,3032,3
130,3032,1
114,923,1
370,923,3
380,923,3
415,923,1
2,923,3
351,923,3
493,923,3
327,923,3
52,923,1
323,923,3
263,923,3
182,923,3
427,923,3
34,923,1
339,923,1
373,923,3
211,2054,3
465,2054,3
384,2054,1
269,2054,1
419,2054,3
218,2054,3
163,2054,1
75,2054,3
328,2054,2
223,2054,3
250,2054,1
15,2054,1
232,2054,3
382,2054,1
264,2577,3
133,2577,1
212,2577,3
291,2577,1
151,2577,1
498,2577,3
140,2577,3
455,2577,3
9,2577,1
291,2577,3
353,2577,3
457,4846,3
179,4846,3
401,4846,3
231,4846,1
7,4846,2
80,4846,1
116,4846,3
119,4846,3
323,3893,3
433,3893,3
294,3893,1
423,3893,3
109,3893,1
114,3893,3
200,3893,3
176,3893,1
459,3893,3
183,3893,3
138,3639,3
147,3639,3
314,3639,3
312,3639,3
46,3639,3
464,3639,3
288,3639,3
41,3639,3
343,3639,1
15,3639,3
472,3639,3
333,3639,1
106,1628,1
27,1628,3
399,1628,3
457,1628,1
270,1628,3
452,1628,3
353,1628,3
326,1628,3
269,1628,1
269,1628,3
83,3909,1
255,3909,1
223,3909,1
17,3909,3
318,3909,1
266,3909,1
311,3909,3
6,3909,3
28,3909,3
120,3909,3
